Ward,Households,Total_Pop,Total_Males,Total_Females,Pop_0-6,Males_0-6,Females_0-6,Pop_Literate,Males_Literate,Females_Literate,Pop_Illeterate,Males_Illeterate,Females_Illeterate,Total_Working_Pop,Total_Working_Males,Total_Working_Females,Main_Working_Pop,Main_Working_Males,Main_Working_Females,Non_Workin_Pop,Non_Working_Males,Non_Working_Female
101,21985,92528,51198,41330,11327,6034,5293,70028,40812,29216,22500,10386,12114,41142,31698,9444,38942,30460,8482,51386,19500,31886
102,7787,32450,16739,15711,2472,1252,1220,27275,14538,12737,5175,2201,2974,14497,10175,4322,13687,9726,3961,17953,6564,11389
103,5618,23963,13289,10674,2083,1093,990,18600,10754,7846,5363,2535,2828,12024,8600,3424,10589,7739,2850,11939,4689,7250
104,2925,12402,7165,5237,838,451,387,10698,6239,4459,1704,926,778,5627,4763,864,5345,4546,799,6775,2402,4373
105,5551,23671,12836,10835,1563,779,784,19634,10748,8886,4037,2088,1949,10470,8220,2250,9845,7741,2104,13201,4616,8585
206,5802,26794,15540,11254,2745,1465,1280,19831,11855,7976,6963,3685,3278,11670,10100,1570,10855,9535,1320,15124,5440,9684
207,3223,14451,8311,6140,1215,609,606,12188,7040,5148,2263,1271,992,5988,5432,556,5896,5377,519,8463,2879,5584
208,11440,55886,30270,25616,5590,2966,2624,46205,25239,20966,9681,5031,4650,19930,17366,2564,18994,16818,2176,35956,12904,23052
209,6675,30159,16324,13835,2721,1394,1327,23224,12943,10281,6935,3381,3554,12630,10084,2546,11852,9586,2266,17529,6240,11289
310,5097,23703,13425,10278,1934,976,958,19268,10750,8518,4435,2675,1760,9784,8667,1117,9351,8387,964,13919,4758,9161
311,5335,25646,14566,11080,2051,1061,990,21487,12540,8947,4159,2026,2133,11137,9401,1736,10518,8991,1527,14509,5165,9344
312,7572,37220,21990,15230,3086,1595,1491,31541,18972,12569,5679,3018,2661,16498,14814,1684,15780,14376,1404,20722,7176,13546
313,3960,17853,13437,4416,679,360,319,15275,11700,3575,2578,1737,841,12692,11601,1091,12416,11403,1013,5161,1836,3325
314,7171,30878,17354,13524,1821,992,829,26740,15216,11524,4138,2138,2000,15028,11654,3374,14524,11335,3189,15850,5700,10150
315,7344,30861,17255,13606,1883,1009,874,26552,14604,11948,4309,2651,1658,14099,11029,3070,13438,10590,2848,16762,6226,10536
416,11187,52217,28767,23450,3640,1920,1720,43187,24264,18923,9030,4503,4527,22578,18458,4120,21398,17714,3684,29639,10309,19330
417,10999,54783,28721,26062,4898,2510,2388,44835,24203,20632,9948,4518,5430,21728,17201,4527,20123,16209,3914,33055,11520,21535
418,9356,38581,19915,18666,2316,1232,1084,34454,17902,16552,4127,2013,2114,16321,12259,4062,15167,11647,3520,22260,7656,14604
419,3641,15065,8087,6978,803,444,359,13315,7212,6103,1750,875,875,6919,5249,1670,6568,5031,1537,8146,2838,5308
420,15333,67661,35611,32050,3934,2056,1878,58573,30963,27610,9088,4648,4440,32322,23325,8997,29739,22045,7694,35339,12286,23053
421,27040,118559,61887,56672,7832,4102,3730,100114,52851,47263,18445,9036,9409,53225,37926,15299,49918,36125,13793,65334,23961,41373
522,18125,88149,49531,38618,9034,4667,4367,66086,38415,27671,22063,11116,10947,36853,30961,5892,34051,29300,4751,51296,18570,32726
523,12336,57232,30411,26821,4475,2296,2179,49350,26737,22613,7882,3674,4208,23671,18482,5189,22241,17692,4549,33561,11929,21632
524,4264,19851,9816,10035,1623,843,780,16767,8526,8241,3084,1290,1794,7469,5323,2146,6896,5023,1873,12382,4493,7889
525,5943,32121,17602,14519,3222,1624,1598,25975,14302,11673,6146,3300,2846,11870,10282,1588,11018,9724,1294,20251,7320,12931
526,6842,35980,20185,15795,3668,1931,1737,27050,16045,11005,8930,4140,4790,14328,12126,2202,13180,11478,1702,21652,8059,13593
527,30836,159953,88522,71431,15177,8009,7168,126980,70916,56064,32973,17606,15367,65468,53712,11756,61066,50900,10166,94485,34810,59675
628,24948,107563,55731,51832,7573,3952,3621,94378,49749,44629,13185,5982,7203,42902,32118,10784,40930,31021,9909,64661,23613,41048
629,35973,168063,90695,77368,16244,8701,7543,136532,76433,60099,31531,14262,17269,65009,51740,13269,60951,49146,11805,103054,38955,64099
630,18812,85346,44313,41033,6700,3525,3175,72133,38543,33590,13213,5770,7443,33300,25249,8051,31550,24140,7410,52046,19064,32982
731,11331,44768,22544,22224,2374,1269,1105,40585,20386,20199,4183,2158,2025,18191,13279,4912,17833,13079,4754,26577,9265,17312
732,108293,484266,262640,221626,50212,26152,24060,379907,215682,164225,104359,46958,57401,189773,152712,37061,176746,144758,31988,294493,109928,184565
835,10786,48021,24973,23048,3676,1921,1755,40806,21904,18902,7215,3069,4146,19571,14374,5197,18632,13902,4730,28450,10599,17851
836,33628,148827,78660,70167,11401,6009,5392,125073,68363,56710,23754,10297,13457,60438,45537,14901,57360,43742,13618,88389,33123,55266
837,20910,96529,56388,40141,7758,4094,3664,79788,48836,30952,16741,7552,9189,42960,35684,7276,41511,34821,6690,53569,20704,32865
838,18133,84372,48741,35631,7298,3845,3453,66637,40198,26439,17735,8543,9192,36252,30026,6226,34653,28992,5661,48120,18715,29405
933,94194,454589,258777,195812,47050,24425,22625,352786,210459,142327,101803,48318,53485,192410,160413,31997,181751,153342,28409,262179,98364,163815
934,19603,80583,40008,40575,5511,2779,2732,70605,35401,35204,9978,4607,5371,31584,22170,9414,30159,21459,8700,48999,17838,31161
935,14341,63867,32384,31483,4459,2224,2235,54560,28440,26120,9307,3944,5363,26038,18799,7239,23861,17608,6253,37829,13585,24244